step,MM-0_pnl,MM-0_inv,MM-0_nav,MM-1_pnl,MM-1_inv,MM-1_nav,TF-0_pnl,TF-0_inv,TF-0_nav,TF-1_pnl,TF-1_inv,TF-1_nav,MR-0_pnl,MR-0_inv,MR-0_nav,MR-1_pnl,MR-1_inv,MR-1_nav,LT-0_pnl,LT-0_inv,LT-0_nav,LT-1_pnl,LT-1_inv,LT-1_nav,SP-0_pnl,SP-0_inv,SP-0_nav,RL-0_pnl,RL-0_inv,RL-0_nav
10,-0.22000000000000006,0,-0.22000000000000006,-0.22000000000000006,0,-0.22000000000000006,0.0,0,0.0,199.20514211273633,-2,0.5132359062632474,0.0,0,0.0,0.0,0,0.0,399.5996362536182,-4,2.2158238406720443,0.0,0,0.0,400.3533940330782,-4,0.18298060611715528,398.66967333973804,-4,1.2858609267918837
11,-0.24000000000000007,0,-0.24000000000000007,-0.24000000000000007,0,-0.24000000000000007,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,399.5996362536182,-4,2.2158238406720443,0.0,0,0.0,500.375549773064,-5,0.4028105607193311,497.65767333973804,-5,0.9279078235553584
12,-0.26000000000000006,0,-0.26000000000000006,-0.26000000000000006,0,-0.26000000000000006,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,399.5896362536182,-4,2.2058238406720534,0.0,0,0.0,500.375549773064,-5,0.31716575816034265,597.452402506844,-6,1.376683887424747
13,-0.2800000000000001,0,-0.2800000000000001,-0.2800000000000001,0,-0.2800000000000001,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,500.365549773064,-5,0.30716575816035174,696.4404025068441,-7,1.0187307841882784
14,-0.3000000000000001,0,-0.3000000000000001,-0.3000000000000001,0,-0.3000000000000001,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,600.3488586675824,-6,0.3815716127687665,796.1444010369165,-8,1.3767762110242074
15,-0.3200000000000001,0,-0.3200000000000001,-0.3200000000000001,0,-0.3200000000000001,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,700.2979096410771,-7,0.7663584184609817,895.7652723492218,-9,1.6516944200930084
16,-0.34000000000000014,0,-0.34000000000000014,-0.34000000000000014,0,-0.34000000000000014,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,800.2139543525204,-8,1.1090521066573729,995.5630087827668,-10,2.103477750401453
17,-0.36000000000000015,0,-0.36000000000000015,-0.36000000000000015,0,-0.36000000000000015,0.0,0,0.0,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,900.0400671332534,-9,1.440675020164008,1095.479246508205,-11,2.6737623726030506
18,-0.38000000000000017,0,-0.38000000000000017,-0.38000000000000017,0,-0.38000000000000017,-0.01,0,-0.01,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,999.8572152313953,-10,1.7612980183849913,1195.282181599256,-12,3.130744360417566
19,-0.4000000000000002,0,-0.4000000000000002,-0.4000000000000002,0,-0.4000000000000002,99.73757773783522,-1,0.12359007872005634,298.89134962037394,-3,0.8534903106643128,0.0,0,0.0,0.0,0,0.0,796.2809453985775,-8,1.5133205726851884,0.0,0,0.0,1099.5535510680586,-11,3.7996868177917804,1295.1216195602306,-13,3.624229218155506
